Texto,links
"Abertas inscrições para seleção de bolsa de graduação para estudantes negro(a)s
A UFRPE, por meio da Pró-Reitoria de Ensino de Graduação, divulga o Edital UFRPE n 14/2023  que visa à seleção de candidato(a)s negro(a)s  para bolsas de pernamência na graduação concedidas pelo Edital Caferrour 2022.
A Bolsa de Permanência na Graduação - 1 vaga para cada curso - tem o valor de R$ 1.000,00(mil reais)/mês, e é voltada especificamente para estudantes do 1º ou 2º período dos seguintes cursos:
Bacharelado de Ciências Biológicas (Sede), Engenharia de Pesca (Sede), Bacharelado em Administração (Sede), Bacharelado em Ciências da Computação (Sede), Bacharelado em Ciências Econômicas (Sede), Bacharelado em Engenharia de Computação (UABJ), Bacharelado em Engenharia Hídrica (UABJ), Bacharelado em Engenharia Química (UABJ), Bacharelado em Engenharia de Materiais (UACSA). - Para mais informaões você pode acessar https://bityli.com/Oqtba7",https://bityli.com/Oqtba7
Plano de curso de Engenharia da Computação -  para mais informações acesse https://bityli.com/3v62T1,https://www.ufrpe.br/br/content/engenharia-da-computa%C3%A7%C3%A3o-belo-jardim
"PROGRAMA DE APOIO AO INGRESSANTE (PAI): concede bolsas aos calouros, ingressantes nos cursos de graduação presenciais em situação de vulnerabilidade socioeconômica, regularmente matriculados. Ao todo estão sendo ofertadas 350 bolsas, divididas entre as unidades Sede/Recife (100), Garanhuns (100), Serra Talhada (100) e Cabo de Santo Agostinho (50). Link de acesso: https://bityli.com/7b32X6",https://bityli.com/7b32X6
"Bolsas de iniciação científica da UFRPE têm aumento a partir de abril de 2023   
A gestão superior da UFRPE divulga, nesta quarta-feira (15/03), o aumento das bolsas de iniciação científica pagas pela Instituição a partir de abril.
Com o aumento,  as bolsas Pibiti, Piemp, Pibic e Pibic-AF passam de R$400 para R$700;  e a Pibic-EM vai de R$100 para R$300. - para mais informaçoes acesse https://bityli.com/j1pmcy",https://bityli.com/j1pmcy
"Para ingressar em um curso de graduação da UFRPE é necessário realizar o Exame Nacional do Ensino Médio (Enem) e, a partir da nota, increver-se no Sistema de Seleção Unificada (Sisu), aberto nacionalmente no início de cada ano. - para mais informações acesse https://bityli.com/0jSEsG",https://bityli.com/0jSEsG
PPC Bacharelado em Engenharia de Computação - para mais informações acesse o link https://bityli.com/09Ij7O,https://bityli.com/09Ij7O
"Acaba de sair o resutado da lista de espera,A Universidade Federal Rural de Pernambuco (UFRPE) divulga o resultado da lista de espera do SiSU 2023.
Para garantir a vaga, os/as candidatos/as APROVADOS(AS) E SUPLENTES NA LISTA DE ESPERA, devem realizar o envio eletrônico da documentação por meio do site https://sigps.ufrpe.br/sigps, das 00h do dia 15 de março até às 23h59min do dia 24 de março de 2023. 
O período para retificação ou solicitação de cadastramento para retardatários da lista de espera será nos dias 29 e 31 de março.",http://www.uabj.ufrpe.br/br/noticia/divulgada-lista-espera-sisu-ufrpe
PPC de Bacharelado em Engenharia Hídrica. - para mais infromaçoes acesse o link https://bityli.com/0FpNOA,https://www.ufrpe.br/br/content/engenharia-hídrica-belo-jardim
PPC de Bacharelado em Engenharia Química. - para mais informaçoes acesse o link https://bityli.com/Qr9DBa,https://www.ufrpe.br/br/content/engenharia-química-belo-jardim
PCC de Bacharelado em Engenharia de Controle e Automação. - Para mais informações acesse o link: https://www.ufrpe.br/br/content/engenharia-de-controle-e-automação-belo-jardim,
"A Universidade Federal Rural de Pernambuco (UFRPE) e a Universidade Federal do Agreste de Pernambuco (UFAPE), através da Pró-Reitoria de Ensino de Graduação (PREG) e da Secretaria de Tecnologias Digitais (STD) informam à comunidade acadêmica que devido a problemas técnicos no Sistema de Informações e Gestão Acadêmica (SIGA) fica adiado o início das matrículas dos discentes regulares previsto para 25 a 27 de agosto. O novo período será das 00 h do dia 26 de agosto até às 18 h do dia 28 de agosto para as matrículas nos cursos de graduação presencial da Sede da UFRPE (Dois Irmãos), da Unidade Acadêmica de Serra Talhada (UAST) e da UFAPE",https://www.ufrpe.br/br/content/matrículas-são-adiadas-para-período-entre-26-e-2808-exceto-uabj-e-uacsa
As aulas na Unidade Academica de Belo Jardim - UFRPE- começarão em 28 de maio de 2023 - Link de acesso: https://ufrpe.br/sites/ufrpe.br/files/CALENDÁRIO%20ACADÊMICO_UFRPE_2022_PE.1.pdf,
O Coordenado do curso de Computação é Geovanni e seu suplente é Waldemar Neto,
Onde esta o onibus? - Eu tenho cara de GPS?,
Qual o calendário do semestre 2022.2? - Para visualizar o calendario completo acesse o link: http://www.uabj.ufrpe.br/br/calend%C3%A1rio-acad%C3%AAmico,http://www.uabj.ufrpe.br/br/calend%C3%A1rio-acad%C3%AAmico
"UFRPE lança edital extra para vagas nos cursos de graduação em 2022.2 - O cadastro para inscrição ocorrerá através do preenchimento do formulário eletrônico através do site http://www.editalextra.ufrpe.br/inscricao no período de 08 a 17 de março de 2023 para todo(a)s o(a)s candidato(a)s. Nesta etapa, o(a) candidato(a) deve gerar o comprovante de inscrição. - Para mais informaçoes acesse o link: https://www.ufrpe.br/br/content/ufrpe-lan%C3%A7a-edital-extra-para-vagas-nos-cursos-de-gradua%C3%A7%C3%A3o-em-20222",https://www.ufrpe.br/br/content/ufrpe-lan%C3%A7a-edital-extra-para-vagas-nos-cursos-de-gradua%C3%A7%C3%A3o-em-20222
Quais os horarios de Engenharia de Computação? - Para visualizar todo os horarios de Engenharia de Computação acesse o link: http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf,http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Quais os horarios de Engenharia de Controle e Automação? - Para visualizar todo os horarios de Engenharia de Controle e Automação acesse o link: http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf,http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Quais os horarios de Engenharia Quimica? - Para visualizar todo os horarios de Engenharia Quimica acesse o link: http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20Qu%C3%ADmica.pdf,http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20Qu%C3%ADmica.pdf
Quais os horarios de Engenharia Hidrica? - Para visualizar todo os horarios de Engenharia Hidrica acesse o link: http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20H%C3%ADdrica.pdf,http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20H%C3%ADdrica.pdf
Quais os horarios dos cursos da UABJ? - Para visualizar o horario completo de todos os cursos acesse o link: http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/horario_2022-1_QuadroDeAulas_NoSigaa251022_Salas.pdf,http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/horario_2022-1_QuadroDeAulas_NoSigaa251022_Salas.pdf
Calendário UFRPE 2022.2 - Link de acesso: https://ufrpe.br/sites/ufrpe.br/files/CALENDÁRIO%20ACADÊMICO_UFRPE_2022_PE.1.pdf,
 A Universidade Federal Rural de Pernambuco (UFRPE) divulga o resultado da lista de espera do SiSU 2023. Link de acesso: https://www.ufrpe.br/br/content/divulgada-lista-de-espera-do-sisu-ufrpe,
"Aberstas inscrições no Programa Institucional de Bolsas de Iniciação Científica (PIBIC), Programa Institucional de Bolsas de Iniciação Científica nas Ações Afirmativas (PIBIC-Af) e Programa de Iniciação Científica Voluntária (PIC), em conformidade com a Resolução Normativa nº 017/2006 do CNPq. As inscrições começam em 13 de junho e vão até 1º de julho. Link de acesso:  https://www.ufrpe.br/br/content/edital-do-pibicpibic-afpic-20222023",
PROGRAMA DE RESIDÊNCIA: o programa busca ocupar as vagas nas residências universitárias da UFRPE. Podem participar da seleção os alunos da graduação presencial que residam fora da Região Metropolitana do Recife (para as vagas da residência do campus Dois Irmãos); fora da zona urbana do município de Garanhuns (UAG); fora da zona urbana de Serra Talhada (UAST). Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil,
"PROGRAMA DE APOIO À GESTANTE (PAG): tem como objetivo da concessão de Auxílio Creche na UFRPE. O programa é voltado a alunas regularmente matriculadas em seus cursos que tenham concebido um filho (a) durante seus estudos na UFRPE. A criança deve ter entre 0 e 3 anos e 11 meses. A vigência do auxílio encerra quando a criança completar a idade máxima (3 anos e 11 meses). É preciso atender ao recorte socioeconômico (1,5 salários mínimos por membro da família). Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil",
"PROGRAMA DE APOIO AO DISCENTE (PAD): tem o objetivo de conceder bolsas a estudantes reconhecidamente em situação de vulnerabilidade socioeconômica durante a realização do curso de graduação. Ao todo estão sendo ofertadas 350 bolsas, divididas entre as unidades Sede/Recife (100), Garanhuns (100), Serra Talhada (100) e Cabo de Santo Agostinho (50). As bolsas são divididas nas modalidades Apoio Acadêmico, Transporte e Alimentação. Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil",
"Estão abertas, até o dia 16 de maio de 2023, as inscrições para o edital de seleção do programa de bolsas para estudantes de graduação “Santander Graduação 2023”. São disponibilizadas cinco bolsas para estudantes da UFRPE. Link de acesso: https://www.ufrpe.br/br/content/inscrições-abertas-para-bolsas-santander-graduação-2023",
"A gestão superior da UFRPE divulga, nesta quarta-feira (15/03), o aumento das bolsas de iniciação científica pagas pela Instituição a partir de abril. Com o aumento,  as bolsas Pibiti, Piemp, Pibic e Pibic-AF passam de R$400 para R$700;  e a Pibic-EM vai de R$100 para R$300.  Link de acesso: https://www.ufrpe.br/br/content/bolsas-de-iniciação-científica-da-ufrpe-têm-aumento-partir-de-abril-de-2023",
Como consultar o número da matrícula no SIGA?  Link de acesso: https://ajuda.ufrpe.br/article/como-consultar-numero-de-matricula-no-siga,
Como realizar rematrículas pelo SIGAA. Link de acesso: http://manuais.sigs.ufrpe.br/doku.php?id=suporte:manuais:sigaa:stricto_sensu:alunos:matricula:matricular_discente,
Consultar dados do aluno no SIGAA. Link de acesso: http://manuais.sigs.ufrpe.br/doku.php?id=suporte:manuais:sigaa:graduacao:alunos:dados_do_discente:consultar_dados_do_aluno,